Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,1,1,1,0.002,500
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,3,1,3,0.002,1500
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,10,1,10,0.007,1429
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,31,1,31,0.011,2819
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,100,1,100,0.034,2942
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,316,1,316,0.183,1727
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,1000,1,1000,0.256,3907
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,3162,1,3162,0.69,4583
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,10000,1,10000,1.497,6681
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,31622,1,31622,3.236,9772
ZK Performance Test-Read,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get,1,100000,1,100000,13.718,7290
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,1,1,1,0.008,125
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,3,1,3,0.001,3000
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,10,1,10,0.003,3334
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,31,1,31,0.037,838
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,100,1,100,0.051,1961
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,316,1,316,0.2,1580
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,1000,1,1000,0.345,2899
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,3162,1,3162,0.659,4799
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,10000,1,10000,1.074,9311
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,31622,1,31622,2.654,11915
ZK Performance Test-Read,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get,1,100000,1,100000,9.191,10881
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1,1,1,0.017,59
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3,1,3,0.005,600
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10,1,10,0.01,1000
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31,1,31,0.034,912
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100,1,100,0.085,1177
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,316,1,316,0.251,1259
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1000,1,1000,0.505,1981
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3162,1,3162,2.003,1579
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10000,1,10000,5.684,1760
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31622,1,31622,16.974,1863
ZK Performance Test-Producer/Consumer,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100000,1,100000,52.614,1901
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1,1,1,0.012,84
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3,1,3,0.019,158
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10,1,10,0.082,122
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31,1,31,0.272,114
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100,1,100,0.859,117
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,316,1,316,2.47,128
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,1000,1,1000,7.608,132
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,3162,1,3162,24.093,132
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,10000,1,10000,76.372,131
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,31622,1,31622,220.486,144
ZK Performance Test-Producer/Consumer,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create+Delete+Get,1,100000,1,100000,675.2,149
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.029,35
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.041,74
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.125,80
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.434,72
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,1.137,88
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,3.791,84
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,11.144,90
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,34.517,92
ZK Performance Test-move,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,106.121,95
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.019,53
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.037,82
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.071,141
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,31,1,31,0.216,144
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,100,1,100,0.628,160
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,316,1,316,1.372,231
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,1000,1,1000,1.503,666
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,3162,1,3162,3.669,862
ZK Performance Test-move,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,10000,1,10000,9.308,1075
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,1,1,1,0.004,250
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,3,1,3,0.009,334
ZK Performance Test-move,None,None,10000,Local Machine,Zookeeper-3.4.5,Get+Set+Delete,1,10,1,10,0.018,556
